captured_at,date,sport,home_team,away_team,market,book,home_odds,away_odds,over_odds,under_odds,total_line
2026-07-03T20:41:40,2026-07-04,MLB,Washington Nationals,Pittsburgh Pirates,spread,fanduel,-115,-104,,,
2026-07-03T20:41:40,2026-07-04,MLB,Washington Nationals,Pittsburgh Pirates,total,fanduel,,,100,-122,10.0
2026-07-03T20:41:40,2026-07-04,MLB,Washington Nationals,Pittsburgh Pirates,moneyline,draftkings,129,-156,,,
2026-07-03T20:41:40,2026-07-04,MLB,Washington Nationals,Pittsburgh Pirates,total,draftkings,,,102,-123,10.0
2026-07-03T20:41:40,2026-07-04,MLB,Texas Rangers,Detroit Tigers,moneyline,fanduel,100,-118,,,
2026-07-03T20:41:40,2026-07-04,MLB,Texas Rangers,Detroit Tigers,spread,fanduel,-176,146,,,
2026-07-03T20:41:40,2026-07-04,MLB,Texas Rangers,Detroit Tigers,total,fanduel,,,-110,-110,8.0
2026-07-03T20:41:40,2026-07-04,MLB,Texas Rangers,Detroit Tigers,moneyline,draftkings,-108,-112,,,
2026-07-03T20:41:40,2026-07-04,MLB,Texas Rangers,Detroit Tigers,total,draftkings,,,-110,-110,8.0
2026-07-03T20:41:40,2026-07-04,MLB,Cincinnati Reds,Baltimore Orioles,moneyline,fanduel,-122,104,,,
2026-07-03T20:41:40,2026-07-04,MLB,Cincinnati Reds,Baltimore Orioles,spread,fanduel,164,-200,,,
2026-07-03T20:41:40,2026-07-04,MLB,Cincinnati Reds,Baltimore Orioles,total,fanduel,,,-102,-120,9.5
2026-07-03T20:41:40,2026-07-04,MLB,Cincinnati Reds,Baltimore Orioles,moneyline,draftkings,-126,104,,,
2026-07-03T20:41:40,2026-07-04,MLB,Cincinnati Reds,Baltimore Orioles,total,draftkings,,,-119,-101,9.0
2026-07-03T20:41:40,2026-07-04,MLB,Cleveland Guardians,Chicago White Sox,moneyline,fanduel,-142,120,,,
2026-07-03T20:41:40,2026-07-04,MLB,Cleveland Guardians,Chicago White Sox,spread,fanduel,158,-192,,,
2026-07-03T20:41:40,2026-07-04,MLB,Cleveland Guardians,Chicago White Sox,total,fanduel,,,-102,-120,8.0
2026-07-03T20:41:40,2026-07-04,MLB,Cleveland Guardians,Chicago White Sox,moneyline,draftkings,-149,123,,,
2026-07-03T20:41:40,2026-07-04,MLB,Cleveland Guardians,Chicago White Sox,total,draftkings,,,-114,-106,7.5
2026-07-03T20:41:40,2026-07-05,MLB,Atlanta Braves,New York Mets,moneyline,fanduel,-162,136,,,
2026-07-03T20:41:40,2026-07-05,MLB,Atlanta Braves,New York Mets,spread,fanduel,130,-156,,,
2026-07-03T20:41:40,2026-07-05,MLB,Atlanta Braves,New York Mets,total,fanduel,,,-124,102,8.0
2026-07-03T20:41:40,2026-07-05,MLB,Atlanta Braves,New York Mets,moneyline,draftkings,-171,141,,,
2026-07-03T20:41:40,2026-07-05,MLB,Atlanta Braves,New York Mets,total,draftkings,,,-121,101,7.5
2026-07-03T20:41:40,2026-07-05,MLB,Chicago Cubs,St. Louis Cardinals,moneyline,fanduel,-162,136,,,
2026-07-03T20:41:40,2026-07-05,MLB,Chicago Cubs,St. Louis Cardinals,spread,fanduel,136,-164,,,
2026-07-03T20:41:40,2026-07-05,MLB,Chicago Cubs,St. Louis Cardinals,total,fanduel,,,-105,-115,8.5
2026-07-03T20:41:40,2026-07-05,MLB,Chicago Cubs,St. Louis Cardinals,moneyline,draftkings,-156,129,,,
2026-07-03T20:41:40,2026-07-05,MLB,Kansas City Royals,Philadelphia Phillies,moneyline,fanduel,130,-154,,,
2026-07-03T20:41:40,2026-07-05,MLB,Kansas City Royals,Philadelphia Phillies,spread,fanduel,-128,106,,,
2026-07-03T20:41:40,2026-07-05,MLB,Kansas City Royals,Philadelphia Phillies,total,fanduel,,,-105,-115,9.0
2026-07-03T20:41:40,2026-07-05,MLB,Kansas City Royals,Philadelphia Phillies,moneyline,draftkings,123,-149,,,
2026-07-03T20:41:40,2026-07-05,MLB,Kansas City Royals,Philadelphia Phillies,total,draftkings,,,-120,100,8.5
2026-07-03T20:41:40,2026-07-05,MLB,Los Angeles Angels,Boston Red Sox,moneyline,fanduel,134,-158,,,
2026-07-03T20:41:40,2026-07-05,MLB,Los Angeles Angels,Boston Red Sox,spread,fanduel,-132,110,,,
2026-07-03T20:41:40,2026-07-05,MLB,Los Angeles Angels,Boston Red Sox,total,fanduel,,,-108,-112,8.5
2026-07-03T20:41:40,2026-07-05,MLB,Los Angeles Angels,Boston Red Sox,moneyline,draftkings,135,-163,,,
2026-07-03T20:41:40,2026-07-05,MLB,Los Angeles Angels,Boston Red Sox,total,draftkings,,,-108,-112,8.5
2026-07-03T20:41:40,2026-07-05,MLB,Arizona Diamondbacks,Milwaukee Brewers,moneyline,fanduel,120,-142,,,
2026-07-03T20:41:40,2026-07-05,MLB,Arizona Diamondbacks,Milwaukee Brewers,spread,fanduel,-142,118,,,
2026-07-03T20:41:40,2026-07-05,MLB,Arizona Diamondbacks,Milwaukee Brewers,total,fanduel,,,-118,-104,9.0
2026-07-03T20:41:40,2026-07-05,MLB,Arizona Diamondbacks,Milwaukee Brewers,moneyline,draftkings,129,-156,,,
2026-07-03T20:41:40,2026-07-05,MLB,Arizona Diamondbacks,Milwaukee Brewers,total,draftkings,,,-112,-108,9.0
2026-07-03T20:41:40,2026-07-05,MLB,Athletics,Miami Marlins,moneyline,fanduel,102,-120,,,
2026-07-03T20:41:40,2026-07-05,MLB,Athletics,Miami Marlins,spread,fanduel,-156,130,,,
2026-07-03T20:41:40,2026-07-05,MLB,Athletics,Miami Marlins,total,fanduel,,,102,-124,11.0
2026-07-03T20:41:40,2026-07-05,MLB,Athletics,Miami Marlins,moneyline,draftkings,-102,-118,,,
2026-07-03T20:41:40,2026-07-05,MLB,Athletics,Miami Marlins,total,draftkings,,,-114,-106,10.5
2026-07-03T20:41:40,2026-07-05,MLB,Los Angeles Dodgers,San Diego Padres,moneyline,fanduel,-255,210,,,
2026-07-03T20:41:40,2026-07-05,MLB,Los Angeles Dodgers,San Diego Padres,spread,fanduel,-115,-104,,,
2026-07-03T20:41:40,2026-07-05,MLB,Los Angeles Dodgers,San Diego Padres,total,fanduel,,,-118,-104,8.5
2026-07-03T20:41:40,2026-07-05,MLB,Los Angeles Dodgers,San Diego Padres,moneyline,draftkings,-280,224,,,
2026-07-03T20:41:40,2026-07-05,MLB,Los Angeles Dodgers,San Diego Padres,total,draftkings,,,-110,-110,8.5
